# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
357 4.278 0.921838 28.4928
358 4.29 0.927735 28.7247
359 4.302 0.932745 28.9592
360 4.314 0.937396 29.1962
361 4.326 0.941599 29.4356
362 4.338 0.94548 29.6773
363 4.35 0.947788 29.9209
364 4.362 0.951246 30.1668
365 4.374 0.952727 30.4144
366 4.386 0.954606 30.6638
367 4.398 0.956211 30.9151
368 4.41 0.957432 31.168
369 4.422 0.959104 31.4228
370 4.434 0.961335 31.6795
371 4.446 0.961476 31.9377
372 4.458 0.961453 32.1973
373 4.47 0.962597 32.4586
374 4.482 0.963605 32.7215
375 4.494 0.964316 32.9861
376 4.506 0.966362 33.2526
377 4.518 0.966993 33.5207
378 4.53 0.969271 33.7909
379 4.542 0.97118 34.0631
380 4.554 0.974095 34.3375
381 4.566 0.977462 34.6143
382 4.578 0.981429 34.8938
383 4.59 0.984657 35.1756
384 4.602 0.989801 35.4603
385 4.614 0.994531 35.7479
386 4.626 0.999854 36.0386
387 4.638 1.00494 36.3322
388 4.65 1.01069 36.6291
389 4.662 1.01737 36.9295
390 4.674 1.02312 37.2331
391 4.686 1.02834 37.5399
392 4.698 1.03529 37.8503
393 4.71 1.03999 38.1637
394 4.722 1.04544 38.4803
395 4.734 1.0507 38.8002
396 4.746 1.05606 39.1233
397 4.758 1.06057 39.4495
398 4.77 1.06365 39.7782
399 4.782 1.06748 40.1098
400 4.794 1.07038 40.444
401 4.806 1.07268 40.7806
402 4.818 1.07544 41.1197
403 4.83 1.07639 41.4608
404 4.842 1.07803 41.8041
405 4.854 1.07929 42.1496
406 4.866 1.08088 42.4972
407 4.878 1.082 42.847
408 4.89 1.08249 43.1986
409 4.902 1.08333 43.5522
410 4.914 1.08379 43.9077
411 4.926 1.08455 44.2652
412 4.938 1.08542 44.6248
413 4.95 1.08506 44.9859
414 4.962 1.08447 45.3486
415 4.974 1.08332 45.7127
416 4.986 1.08299 46.0785
417 4.998 1.08023 46.445
418 5.01 1.07701 46.8122
419 5.022 1.07409 47.1802
420 5.034 1.07001 47.5486
421 5.046 1.06549 47.9171
422 5.058 1.06069 48.2857
423 5.07 1.05441 48.6539
424 5.082 1.04831 49.0217
425 5.094 1.04242 49.3891
426 5.106 1.03682 49.7563
427 5.118 1.03055 50.123
428 5.13 1.02442 50.4893
429 5.142 1.01827 50.855
430 5.154 1.01234 51.2203
431 5.166 1.00602 51.585
432 5.178 0.999864 51.9492
433 5.19 0.994394 52.313
434 5.202 0.989471 52.6767
435 5.214 0.983508 53.04
436 5.226 0.978133 53.4028
437 5.238 0.973652 53.7657
438 5.25 0.96971 54.1288
439 5.262 0.96582 54.4921
440 5.274 0.962109 54.8556
441 5.286 0.958999 55.2196
442 5.298 0.95564 55.584
443 5.31 0.95299 55.949
444 5.322 0.951493 56.3151
445 5.334 0.948956 56.6819
446 5.346 0.947628 57.0498
447 5.358 0.946392 57.4188
448 5.37 0.945061 57.789
449 5.382 0.944993 58.1609
450 5.394 0.945332 58.5345
451 5.406 0.945844 58.91
452 5.418 0.945739 59.2871
453 5.43 0.947216 59.6665
454 5.442 0.948458 60.0481
455 5.454 0.950034 60.432
456 5.466 0.951417 60.8181
457 5.478 0.953686 61.2069
458 5.49 0.955163 61.598
459 5.502 0.957797 61.9918
460 5.514 0.959268 62.388
461 5.526 0.96204 62.7871
462 5.538 0.964325 63.1888
463 5.55 0.966782 63.5934
464 5.562 0.969886 64.001
465 5.574 0.97234 64.4113
466 5.586 0.974638 64.8245
467 5.598 0.977205 65.2405
468 5.61 0.979807 65.6594
469 5.622 0.981992 66.081
470 5.634 0.984533 66.5055
471 5.646 0.987595 66.9332
472 5.658 0.989316 67.3634
473 5.67 0.992138 67.7967
474 5.682 0.99418 68.2327
475 5.694 0.996397 68.6715
476 5.706 0.998136 69.113
477 5.718 0.99972 69.557
478 5.73 1.00125 70.0036
479 5.742 1.00324 70.4529
480 5.754 1.00532 70.905
481 5.766 1.0058 71.3593
482 5.778 1.00724 71.8161
483 5.79 1.00799 72.2751
484 5.802 1.00843 72.7363
485 5.814 1.00905 73.1996
486 5.826 1.01048 73.6655
487 5.838 1.01048 74.1334
488 5.85 1.01116 74.6034
