# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
433 155.7 0.00381893 25.6226
434 156.06 0.00368522 25.658
435 156.42 0.00357684 25.6923
436 156.78 0.0034531 25.7254
437 157.14 0.00334478 25.7575
438 157.5 0.00323193 25.7885
439 157.86 0.00313248 25.8186
440 158.22 0.00303695 25.8477
441 158.58 0.00293762 25.8759
442 158.94 0.00285889 25.9033
443 159.3 0.00277005 25.9299
444 159.66 0.00269092 25.9557
445 160.02 0.00262024 25.9808
446 160.38 0.00255218 26.0053
447 160.74 0.00248238 26.0291
448 161.1 0.00242237 26.0524
449 161.46 0.0023606 26.075
450 161.82 0.00230028 26.0971
451 162.18 0.00224632 26.1186
452 162.54 0.00218914 26.1396
453 162.9 0.00213558 26.1601
454 163.26 0.00208443 26.1801
455 163.62 0.00204021 26.1997
456 163.98 0.00198323 26.2187
457 164.34 0.0019462 26.2374
458 164.7 0.00190135 26.2557
459 165.06 0.00186176 26.2735
460 165.42 0.00181851 26.291
461 165.78 0.00177465 26.308
462 166.14 0.00173577 26.3246
463 166.5 0.0016977 26.3409
464 166.86 0.00165726 26.3568
465 167.22 0.00162506 26.3724
466 167.58 0.00158393 26.3876
467 167.94 0.00153521 26.4023
468 168.3 0.00149795 26.4167
469 168.66 0.00145634 26.4307
470 169.02 0.00141676 26.4443
471 169.38 0.00137631 26.4575
472 169.74 0.0013348 26.4703
473 170.1 0.00128968 26.4827
474 170.46 0.00125102 26.4947
475 170.82 0.00120571 26.5062
476 171.18 0.00115889 26.5173
477 171.54 0.00111163 26.528
478 171.9 0.00107142 26.5383
479 172.26 0.00102456 26.5481
480 172.62 0.000977943 26.5575
481 172.98 0.000929609 26.5664
482 173.34 0.000883339 26.5749
483 173.7 0.000840544 26.583
484 174.06 0.000792568 26.5906
485 174.42 0.000743258 26.5977
486 174.78 0.000696693 26.6044
487 175.14 0.000656078 26.6107
488 175.5 0.000602988 26.6165
489 175.86 0.000556283 26.6218
490 176.22 0.000509172 26.6267
491 176.58 0.000461128 26.6311
492 176.94 0.000413949 26.6351
493 177.3 0.000364188 26.6386
494 177.66 0.000315223 26.6416
495 178.02 0.000266805 26.6442
496 178.38 0.000218111 26.6462
497 178.74 0.000171715 26.6479
498 179.1 0.000122346 26.6491
499 179.46 7.30382e-05 26.6498
500 179.82 2.46098e-05 26.65
