# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
306 109.98 0.00628678 8195.46
307 110.34 0.00563249 8220.07
308 110.7 0.00531332 8243.3
309 111.06 0.00533861 8266.63
310 111.42 0.00552833 8290.8
311 111.78 0.0056399 8315.45
312 112.14 0.00552725 8339.61
313 112.5 0.00524641 8362.54
314 112.86 0.00501162 8384.44
315 113.22 0.00508016 8406.65
316 113.58 0.00560778 8431.16
317 113.94 0.0065744 8459.89
318 114.3 0.00778194 8493.91
319 114.66 0.00891475 8532.87
320 115.02 0.00964569 8575.03
321 115.38 0.00978648 8617.81
322 115.74 0.00939356 8658.87
323 116.1 0.00873574 8697.05
324 116.46 0.00814207 8732.64
325 116.82 0.00786111 8767
326 117.18 0.00802607 8802.08
327 117.54 0.00866763 8839.96
328 117.9 0.00969316 8882.33
329 118.26 0.0108885 8929.92
330 118.62 0.0119544 8982.17
331 118.98 0.0126175 9037.32
332 119.34 0.0127293 9092.96
333 119.7 0.0122974 9146.71
334 120.06 0.01144 9196.71
335 120.42 0.0103274 9241.85
336 120.78 0.00912569 9281.74
337 121.14 0.00797919 9316.62
338 121.5 0.00699919 9347.21
339 121.86 0.00624117 9374.49
340 122.22 0.00569416 9399.38
341 122.58 0.00529662 9422.53
342 122.94 0.00500317 9444.39
343 123.3 0.00482138 9465.47
344 123.66 0.00482642 9486.56
345 124.02 0.00511224 9508.91
346 124.38 0.00569655 9533.81
347 124.74 0.00641012 9561.83
348 125.1 0.00689709 9591.97
349 125.46 0.00679722 9621.68
350 125.82 0.00601957 9647.99
351 126.18 0.00482087 9669.06
352 126.54 0.00361478 9684.86
353 126.9 0.00272131 9696.76
354 127.26 0.00227079 9706.68
355 127.62 0.00226217 9716.57
356 127.98 0.00265023 9728.15
357 128.34 0.00338131 9742.93
358 128.7 0.00441504 9762.23
359 129.06 0.00569547 9787.12
360 129.42 0.00708883 9818.11
361 129.78 0.00834843 9854.6
362 130.14 0.00920809 9894.85
363 130.5 0.00956082 9936.64
364 130.86 0.00956229 9978.43
365 131.22 0.00950638 10020
366 131.58 0.00960775 10062
367 131.94 0.00983621 10105
368 132.3 0.00997349 10148.6
369 132.66 0.00978021 10191.3
370 133.02 0.00916483 10231.4
371 133.38 0.00820833 10267.2
372 133.74 0.0071119 10298.3
373 134.1 0.00612663 10325.1
374 134.46 0.0054654 10349
375 134.82 0.00523332 10371.9
376 135.18 0.00537876 10395.4
377 135.54 0.00574605 10420.5
378 135.9 0.00617306 10447.5
379 136.26 0.00657264 10476.2
380 136.62 0.00694224 10506.5
381 136.98 0.00730886 10538.5
382 137.34 0.00767839 10572.1
383 137.7 0.00798665 10607
384 138.06 0.00807654 10642.3
385 138.42 0.00776963 10676.2
386 138.78 0.00699312 10706.8
387 139.14 0.0058837 10732.5
388 139.5 0.00471285 10753.1
389 139.86 0.00373391 10769.4
390 140.22 0.00306463 10782.8
391 140.58 0.00268538 10794.6
392 140.94 0.00249877 10805.5
393 141.3 0.00240316 10816
394 141.66 0.0023405 10826.2
395 142.02 0.00230772 10836.3
396 142.38 0.00234661 10846.6
397 142.74 0.00251034 10857.5
398 143.1 0.00283664 10869.9
399 143.46 0.00332765 10884.5
400 143.82 0.00395354 10901.8
401 144.18 0.00463292 10922
402 144.54 0.00525686 10945
403 144.9 0.00571272 10970
404 145.26 0.00591885 10995.8
405 145.62 0.00584738 11021.4
406 145.98 0.00553455 11045.6
407 146.34 0.00509712 11067.9
408 146.7 0.00471539 11088.5
409 147.06 0.00458923 11108.5
410 147.42 0.00483752 11129.7
411 147.78 0.00543978 11153.4
412 148.14 0.00624865 11180.8
413 148.5 0.00707697 11211.7
414 148.86 0.007796 11245.8
415 149.22 0.0083367 11282.2
416 149.58 0.00862953 11319.9
417 149.94 0.00855678 11357.3
418 150.3 0.00801013 11392.3
419 150.66 0.00701021 11423
420 151.02 0.00574502 11448.1
421 151.38 0.00450227 11467.8
422 151.74 0.00354043 11483.2
423 152.1 0.00301124 11496.4
424 152.46 0.00293825 11509.2
425 152.82 0.00324317 11523.4
426 153.18 0.00377032 11539.9
427 153.54 0.00431252 11558.7
428 153.9 0.00465385 11579.1
429 154.26 0.00463459 11599.3
430 154.62 0.00421236 11617.8
431 154.98 0.0034859 11633
432 155.34 0.00264328 11644.5
433 155.7 0.00187155 11652.7
434 156.06 0.00130136 11658.4
435 156.42 0.000974427 11662.7
436 156.78 0.000864149 11666.4
437 157.14 0.000906499 11670.4
438 157.5 0.00103 11674.9
439 157.86 0.00118269 11680.1
440 158.22 0.00134845 11686
441 158.58 0.00154705 11692.7
442 158.94 0.00181924 11700.7
443 159.3 0.00219042 11710.3
444 159.66 0.00264137 11721.8
445 160.02 0.00309877 11735.4
446 160.38 0.00346536 11750.5
447 160.74 0.00368275 11766.6
448 161.1 0.00377185 11783.1
449 161.46 0.00381165 11799.7
450 161.82 0.00387063 11816.7
451 162.18 0.00395277 11833.9
452 162.54 0.00400444 11851.4
453 162.9 0.00397628 11868.8
454 163.26 0.00387847 11885.8
455 163.62 0.00376502 11902.2
456 163.98 0.00367995 11918.3
457 164.34 0.00362358 11934.2
458 164.7 0.00357026 11949.8
459 165.06 0.00349432 11965
460 165.42 0.003382 11979.8
461 165.78 0.00322417 11993.9
462 166.14 0.00300529 12007
463 166.5 0.0027078 12018.9
464 166.86 0.00232459 12029
465 167.22 0.00188305 12037.3
466 167.58 0.00143554 12043.5
467 167.94 0.00105227 12048.1
468 168.3 0.000778924 12051.5
469 168.66 0.000626812 12054.3
470 169.02 0.000572452 12056.8
471 169.38 0.00057655 12059.3
472 169.74 0.000597404 12061.9
473 170.1 0.000605959 12064.6
474 170.46 0.000584412 12067.1
475 170.82 0.000529884 12069.4
476 171.18 0.000449331 12071.4
477 171.54 0.000355601 12073
478 171.9 0.000264004 12074.1
479 172.26 0.000187282 12074.9
480 172.62 0.000136614 12075.5
481 172.98 0.00011917 12076
482 173.34 0.000138792 12076.7
483 173.7 0.000192268 12077.5
484 174.06 0.000265345 12078.7
485 174.42 0.000334786 12080.1
486 174.78 0.000376629 12081.8
487 175.14 0.000378271 12083.4
488 175.5 0.000348786 12084.9
489 175.86 0.000312781 12086.3
490 176.22 0.000301312 12087.6
491 176.58 0.000340488 12089.1
492 176.94 0.000449992 12091.1
493 177.3 0.000647178 12093.9
494 177.66 0.000948063 12098.1
495 178.02 0.00135492 12104
496 178.38 0.00181529 12111.9
497 178.74 0.0021803 12121.4
498 179.1 0.00220865 12131.1
499 179.46 0.00169219 12138.5
500 179.82 0.000639569 12141.3
